filename,snr_db
0144_E1.wav,0.76
0081_A2.wav,0.97
0138_E1.wav,1.0
0137_E2.wav,1.03
0130_A1.wav,1.04
0118_E1.wav,1.05
0136_A1.wav,1.05
0039_E2.wav,1.07
0141_E2.wav,1.07
0078_A2.wav,1.1
0080_A1.wav,1.17
0145_A1.wav,1.18
0085_E2.wav,1.18
0137_E1.wav,1.23
0138_A2.wav,1.25
0138_E2.wav,1.31
0055_A1.wav,1.33
0055_E2.wav,1.33
0130_E1.wav,1.36
0039_E1.wav,1.36
0056_A2.wav,1.36
0060_A1.wav,1.45
0129_A2.wav,1.45
0120_E2.wav,1.45
0134_A1.wav,1.46
0045_A1.wav,1.49
0011_E1.wav,1.5
0142_E2.wav,1.52
0039_A2.wav,1.52
0055_A2.wav,1.59
0009_A1.wav,1.6
0131_E1.wav,1.62
0062_E2.wav,1.62
0138_A1.wav,1.63
0071_A2.wav,1.63
0130_E2.wav,1.65
0018_E3.wav,1.66
0136_E1.wav,1.66
0049_A1.wav,1.67
0039_A1.wav,1.7
0131_E3.wav,1.72
0132_E2.wav,1.73
0027_A2.wav,1.73
0113_E1.wav,1.73
0121_A1.wav,1.78
0033_E2.wav,1.78
0053_A2.wav,1.79
0137_A2.wav,1.79
0060_E2.wav,1.79
0132_A2.wav,1.81
0129_A1.wav,1.83
0144_E2.wav,1.83
0142_A2.wav,1.83
0135_E2.wav,1.83
0105_A1.wav,1.85
0058_E1.wav,1.85
0063_A1.wav,1.86
0060_A2.wav,1.87
0085_A2.wav,1.88
0018_E1.wav,1.88
0121_E2.wav,1.9
0048_A1.wav,1.92
0052_A2.wav,1.92
0011_E2.wav,1.93
0028_E2.wav,1.93
0048_A2.wav,1.94
0129_E2.wav,1.96
0009_A2.wav,1.96
0081_A1.wav,1.98
0143_A1.wav,2.0
0141_A2.wav,2.03
0133_E1.wav,2.04
0036_A2.wav,2.05
0058_A1.wav,2.06
0117_E1.wav,2.06
0144_A1.wav,2.08
0140_E2.wav,2.1
0134_E1.wav,2.1
0133_A2.wav,2.1
0076_A2.wav,2.1
0080_A2.wav,2.1
0129_E1.wav,2.13
0129_A3.wav,2.14
0142_A1.wav,2.15
0139_E1.wav,2.16
0026_A3.wav,2.16
0128_A2.wav,2.16
0072_E2.wav,2.18
0113_A2.wav,2.19
0062_A2.wav,2.21
0105_A2.wav,2.21
0033_A1.wav,2.21
0113_E2.wav,2.22
0082_A1.wav,2.24
0136_E2.wav,2.25
0079_A1.wav,2.26
0058_A2.wav,2.29
0078_A1.wav,2.29
0024_A2.wav,2.3
0135_A2.wav,2.3
0122_A2.wav,2.31
0054_A2.wav,2.33
0075_A2.wav,2.33
0143_E2.wav,2.35
0137_A1.wav,2.35
0049_A2.wav,2.4
0033_A2.wav,2.41
0007_E1.wav,2.41
0009_E1.wav,2.43
0024_A1.wav,2.43
0030_E3.wav,2.45
0132_E1.wav,2.46
0083_A1.wav,2.47
0131_E2.wav,2.51
0082_A2.wav,2.53
0116_A1.wav,2.55
0038_E1.wav,2.55
0142_E1.wav,2.55
0056_A1.wav,2.55
0019_A1.wav,2.56
0027_A1.wav,2.56
0018_A2.wav,2.57
0120_E1.wav,2.58
0135_E1.wav,2.58
0044_E1.wav,2.59
0019_A2.wav,2.6
0139_A1.wav,2.6
0068_A1.wav,2.61
0065_A1.wav,2.62
0105_E1.wav,2.63
0019_A3.wav,2.64
0029_A2.wav,2.65
0052_A1.wav,2.66
0133_A1.wav,2.66
0145_E1.wav,2.66
